OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
11,324938,1,Antropogenic,0,100,2,D,500,0.5,0.5,sandy loam ,50,1.10,0.26,5.0,6.000,5.0,22.4,72.6,12,0.20,0.2,0,100,0.70,0.05,0.0,0.100,80.0,15.0,5.0,99,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,324938,1,GLch-ce,0,100,2,D,1000,0.5,0.5,clay_loam,250,1.31,0.21,12.1,5.100,32.0,40.0,28.0,10,0.20,0.2,0,1000,2.02,0.05,0.5,0.500,58.0,36.2,5.8,11,0.20,0.4,0,0,0.00,0.08,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,324938,1,GLch-hu-sl,0,100,3,D,1000,0.5,0.5,silty_clay_loam,250,1.36,0.20,6.6,4.000,31.0,57.2,11.8,9,0.20,0.3,0,550,1.31,0.21,14.4,2.500,5.0,53.6,41.4,9,0.20,0.3,0,1000,1.66,0.18,10.7,0.500,5.0,53.6,41.4,8,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,324938,1,GLch-sl,0,100,3,C,1000,0.5,0.5,loam,250,1.07,0.27,10.3,8.000,22.0,42.4,35.6,11,0.20,0.2,0,550,1.73,0.11,4.8,0.600,29.0,58.4,12.6,11,0.20,0.4,0,1000,1.88,0.18,3.0,0.200,29.0,58.4,12.6,10,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,324938,1,GLdy,0,100,3,C,1000,0.5,0.5,loam,250,1.35,0.18,18.9,3.000,17.0,31.8,51.2,10,0.20,0.2,0,550,1.62,0.18,15.0,0.400,7.0,17.3,75.7,11,0.20,0.2,0,1000,1.73,0.19,9.6,0.200,7.0,22.3,70.7,10,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,324938,1,GLfv,0,100,3,C,1000,0.5,0.5,silt_loam,250,1.39,0.17,5.1,2.000,15.0,66.2,18.8,10,0.20,0.3,0,550,1.60,0.18,14.4,0.200,4.0,40.0,56.0,11,0.20,0.3,0,1000,1.70,0.15,10.5,0.200,4.0,40.0,56.0,10,0.20,0.3,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,324938,1,GLhi-eu-sl,0,100,2,D,1000,0.5,0.5,silt_loam,250,0.33,0.27,33.3,25.000,52.9,30.0,17.1,10,0.20,0.1,0,1000,1.87,0.10,2.5,0.300,35.0,58.9,6.1,10,0.20,0.4,0,0,0.00,0.25,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,324938,1,GLmo-sl,0,100,2,D,1000,0.5,0.5,silty_clay_loam,250,1.47,0.18,5.9,3.000,31.0,57.2,11.8,12,0.20,0.3,0,1000,1.79,0.10,3.4,0.700,31.0,62.1,6.9,12,0.20,0.4,0,0,0.00,0.25,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,324938,1,GLum,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.05,0.27,17.7,5.600,9.0,34.3,56.7,10,0.20,0.2,0,550,1.59,0.20,17.1,0.400,3.0,17.8,79.2,10,0.20,0.2,0,1000,1.71,0.14,11.8,0.200,3.0,14.4,82.6,10,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,324938,1,GLum-ar,0,100,2,B,1000,0.5,0.5,sandy_loam,250,1.02,0.28,21.6,5.600,7.0,29.0,64.0,13,0.20,0.2,0,1000,1.66,0.20,15.6,0.500,5.0,9.1,85.9,13,0.20,0.1,0,0,0.00,0.14,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
