OBJECTID,MUID,SEQN,SNAM,S5ID,CMPPCT,NLAYERS,HYDGRP,SOL_ZMX,ANION_EXCL,SOL_CRK,TEXTURE,SOL_Z1,SOL_BD1,SOL_AWC1,SOL_K1,SOL_CBN1,CLAY1,SILT1,SAND1,ROCK1,SOL_ALB1,USLE_K1,SOL_EC1,SOL_Z2,SOL_BD2,SOL_AWC2,SOL_K2,SOL_CBN2,CLAY2,SILT2,SAND2,ROCK2,SOL_ALB2,USLE_K2,SOL_EC2,SOL_Z3,SOL_BD3,SOL_AWC3,SOL_K3,SOL_CBN3,CLAY3,SILT3,SAND3,ROCK3,SOL_ALB3,USLE_K3,SOL_EC3,SOL_Z4,SOL_BD4,SOL_AWC4,SOL_K4,SOL_CBN4,CLAY4,SILT4,SAND4,ROCK4,SOL_ALB4,USLE_K4,SOL_EC4,SOL_Z5,SOL_BD5,SOL_AWC5,SOL_K5,SOL_CBN5,CLAY5,SILT5,SAND5,ROCK5,SOL_ALB5,USLE_K5,SOL_EC5,SOL_Z6,SOL_BD6,SOL_AWC6,SOL_K6,SOL_CBN6,CLAY6,SILT6,SAND6,ROCK6,SOL_ALB6,USLE_K6,SOL_EC6,SOL_Z7,SOL_BD7,SOL_AWC7,SOL_K7,SOL_CBN7,CLAY7,SILT7,SAND7,ROCK7,SOL_ALB7,USLE_K7,SOL_EC7,SOL_Z8,SOL_BD8,SOL_AWC8,SOL_K8,SOL_CBN8,CLAY8,SILT8,SAND8,ROCK8,SOL_ALB8,USLE_K8,SOL_EC8,SOL_Z9,SOL_BD9,SOL_AWC9,SOL_K9,SOL_CBN9,CLAY9,SILT9,SAND9,ROCK9,SOL_ALB9,USLE_K9,SOL_EC9,SOL_Z10,SOL_BD10,SOL_AWC10,SOL_K10,SOL_CBN10,CLAY10,SILT10,SAND10,ROCK10,SOL_ALB10,USLE_K10,SOL_EC10,SOL_CAL1,SOL_CAL2,SOL_CAL3,SOL_CAL4,SOL_CAL5,SOL_CAL6,SOL_CAL7,SOL_CAL8,SOL_CAL9,SOL_CAL10,SOL_PH1,SOL_PH2,SOL_PH3,SOL_PH4,SOL_PH5,SOL_PH6,SOL_PH7,SOL_PH8,SOL_PH9,SOL_PH10
21,324938,1,GLum-fv-hu-sl,0,100,3,C,1000,0.5,0.5,silt_loam,250,1.28,0.19,8.1,3.900,23.0,55.9,21.1,9,0.20,0.3,0,550,1.47,0.18,12.4,1.600,10.0,51.2,38.8,10,0.20,0.3,0,1000,1.70,0.19,9.0,0.600,11.0,40.6,48.4,9,0.20,0.3,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,324938,1,Sea_dep_thin,0,100,1,D,150,0.5,0.25,sandy loam ,150,1.45,0.25,33.0,2.100,5.0,22.4,72.6,8,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,324938,1,Sea_dep_thick,0,100,2,C,800,0.5,0.25,sandy loam ,150,1.45,0.25,33.0,2.100,5.0,22.4,72.6,8,0.20,0.2,0,800,1.50,0.20,25.0,2.100,5.0,22.4,72.6,8,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,324938,1,HSfi-dy,0,100,2,D,1000,0.5,0.5,silty-clay-loam,250,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,1000,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,0,0.00,0.08,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,324938,1,HShm-dy,0,100,2,D,1000,0.5,0.5,silty-clay-loam,250,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,1000,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,0,0.00,0.08,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,324938,1,HSsa-dy,0,100,2,D,1000,0.5,0.5,silty-clay-loam,250,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,1000,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,0,0.00,0.09,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,324938,1,HSsa-dy-nv,0,100,2,C,1000,0.5,0.5,silt_loam,250,1.29,0.19,5.7,3.000,16.0,63.8,20.2,10,0.20,0.3,0,1000,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,0,0.00,0.08,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,324938,1,HSsa-dy-rp,0,100,3,D,1000,0.5,0.5,silty-clay-loam,250,0.17,0.30,33.3,40.000,52.9,30.0,17.1,11,0.20,0.1,0,700,0.17,0.30,33.3,40.000,52.9,30.0,17.1,11,0.20,0.1,0,1000,1.37,0.18,11.2,3.000,2.0,33.2,64.8,10,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,324938,1,HSsa-dy-rp-rc,0,100,3,D,1000,0.5,0.5,silty-clay-loam,250,0.17,0.30,33.3,40.000,52.9,30.0,17.1,11,0.20,0.1,0,700,0.17,0.30,33.3,40.000,52.9,30.0,17.1,11,0.20,0.1,0,1000,1.37,0.20,11.2,3.000,2.0,33.2,64.8,10,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,324938,1,HSsa-um-tn,0,100,2,C,1000,0.5,0.5,silt_loam,250,1.17,0.21,6.0,5.000,18.0,60.8,21.2,9,0.20,0.3,0,1000,0.17,0.30,33.3,40.000,52.9,30.0,17.1,10,0.20,0.1,0,0,0.00,0.19,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,324938,1,Humic,0,100,1,D,250,0.5,0.5,silt_loam,250,0.33,0.35,40.0,25.000,52.9,30.0,17.1,13,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,324938,1,LPhk,0,100,2,B,1000,0.5,0.5,sandy_loam,250,1.35,0.22,29.3,2.000,5.0,20.6,74.4,12,0.20,0.2,0,1000,1.68,0.19,16.8,0.100,1.0,4.9,94.1,12,0.20,0.1,0,0,0.00,0.19,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.21,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,324938,1,LVcm-sl,0,100,4,C,1000,0.5,0.5,silt_loam,250,1.37,0.18,3.4,2.200,16.0,74.4,9.6,10,0.20,0.3,0,550,1.61,0.15,7.9,0.700,15.0,75.2,9.8,10,0.20,0.4,0,700,1.74,0.21,5.9,0.300,18.0,69.1,12.9,10,0.20,0.4,0,1000,1.82,0.00,3.7,0.100,18.0,69.1,12.9,10,0.20,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,324938,1,LVlen-sl,0,100,3,D,700,0.5,0.5,silt_loam,250,1.37,0.18,3.4,2.200,16.0,74.4,9.6,11,0.20,0.3,0,400,1.59,0.15,8.4,0.700,15.0,75.2,9.8,11,0.20,0.4,0,700,1.72,0.12,6.3,0.300,18.0,69.1,12.9,11,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,324938,1,Beach_dep,0,100,2,C,800,0.5,0.25,sandy loam ,150,1.45,0.25,33.0,2.100,5.0,22.4,72.6,8,0.20,0.2,0,800,1.50,0.20,25.0,2.100,5.0,22.4,72.6,8,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,324938,1,PHha-ph-sl,0,100,3,D,1000,0.5,0.5,silty_clay_loam,250,1.45,0.18,7.2,3.200,30.0,52.9,17.1,10,0.20,0.3,0,700,1.54,0.17,4.8,3.200,30.0,52.9,17.1,11,0.20,0.3,0,1000,1.71,0.19,10.6,0.300,4.0,31.0,65.0,11,0.20,0.3,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,324938,1,PLdy,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.25,0.23,27.2,3.000,7.0,22.8,70.2,11,0.20,0.2,0,550,1.59,0.18,14.8,0.400,6.0,39.0,55.0,11,0.20,0.3,0,1000,1.87,0.17,3.3,0.200,28.0,53.3,18.7,10,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,324938,1,PLfv,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.31,0.21,30.2,3.000,11.0,19.7,69.3,10,0.20,0.2,0,550,1.60,0.20,17.6,0.300,2.0,15.3,82.7,10,0.20,0.2,0,1000,1.87,0.08,3.3,0.200,28.0,53.3,18.7,10,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,324938,1,PLhi-dy,0,100,3,D,1000,0.5,0.5,silty-clay-loam,250,0.33,0.27,33.3,25.000,52.9,30.0,17.1,13,0.20,0.1,0,550,1.61,0.18,14.5,0.300,6.0,29.0,65.0,14,0.20,0.3,0,1000,1.86,0.19,3.7,0.200,26.0,52.6,21.4,12,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,324938,1,PLum,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.05,0.27,29.4,5.000,7.0,22.8,70.2,12,0.20,0.2,0,550,1.58,0.20,17.9,0.500,3.0,14.4,82.6,12,0.20,0.2,0,1000,1.87,0.15,3.3,0.200,28.0,53.3,18.7,11,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,324938,1,PZha,0,100,3,C,1000,0.5,0.5,loamy_sand,250,1.23,0.24,34.9,3.000,4.0,16.4,79.6,10,0.20,0.1,0,350,1.56,0.19,16.9,0.600,6.0,20.0,74.0,10,0.20,0.2,0,1000,1.70,0.08,11.0,0.200,6.0,20.0,74.0,11,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,324938,1,PZha-ar,0,100,3,B,1000,0.5,0.5,loamy_sand,250,1.23,0.24,33.8,3.200,6.0,17.3,76.7,10,0.20,0.2,0,550,1.56,0.21,27.9,0.700,2.0,4.6,93.4,10,0.20,0.1,0,1000,1.68,0.04,22.9,0.400,1.0,3.6,95.4,10,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,324938,1,PZhk-um,0,100,3,B,1000,0.5,0.5,sandy_loam,250,1.13,0.24,41.3,3.800,8.0,18.2,73.8,13,0.20,0.2,0,450,1.54,0.21,21.9,0.900,4.0,7.6,88.4,13,0.20,0.1,0,1000,1.69,0.16,16.6,0.200,1.0,6.7,92.3,12,0.20,0.1,0,0,0.00,0.12,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,324938,1,PZos-um,0,100,4,B,1000,0.5,0.5,sandy_loam,250,0.98,0.30,28.7,6.000,5.0,20.6,74.4,9,0.20,0.2,0,450,1.58,0.18,19.8,0.300,1.0,12.2,86.8,9,0.20,0.1,0,550,1.61,0.09,19.0,0.400,1.0,10.0,89.0,9,0.20,0.1,0,1000,1.69,0.00,14.7,0.300,1.0,10.0,89.0,10,0.20,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,324938,1,PZum,0,100,3,C,1000,0.5,0.5,sandy_loam,250,0.98,0.30,19.6,6.000,5.0,30.2,64.8,11,0.20,0.2,0,550,1.43,0.22,17.1,1.600,2.0,23.2,74.8,11,0.20,0.2,0,1000,1.64,0.09,13.1,0.600,1.0,26.8,72.2,11,0.20,0.2,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,324938,1,PZum-ap,0,100,3,C,1000,0.5,0.5,sandy_loam,250,0.98,0.30,19.6,6.000,5.0,30.2,64.8,13,0.20,0.2,0,550,1.43,0.22,17.1,1.600,2.0,23.2,74.8,14,0.20,0.2,0,1000,1.84,0.18,3.1,0.100,23.0,68.2,8.8,12,0.20,0.4,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,324938,1,PZum-ar,0,100,3,C,1000,0.5,0.5,sand,250,0.95,0.30,51.8,6.500,4.0,8.7,87.3,11,0.20,0.1,0,550,1.50,0.21,20.6,1.300,3.0,8.5,88.5,11,0.20,0.1,0,1000,1.71,0.07,14.1,0.300,3.0,9.2,87.8,11,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,324938,1,End_moraine,0,100,2,D,500,0.5,0.5,sandy loam ,50,1.10,0.26,5.0,6.000,5.0,22.4,72.6,12,0.20,0.2,0,100,0.70,0.05,0.0,0.100,80.0,15.0,5.0,99,0.20,0.1,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,324938,1,RGdy-hu,0,100,3,C,1000,0.5,0.5,sandy_loam,250,1.35,0.21,28.3,2.400,9.0,21.4,69.6,13,0.20,0.2,0,550,1.54,0.18,13.6,1.200,9.0,29.6,61.4,14,0.20,0.2,0,1000,1.73,0.07,9.4,0.300,9.0,29.6,61.4,13,0.20,0.3,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,324938,1,RGdy-pp,0,100,2,D,1000,0.5,0.5,silt_loam,250,1.32,0.20,4.3,1.500,4.0,70.8,25.2,10,0.20,0.4,0,1000,1.63,0.18,8.0,0.300,4.0,83.4,12.6,10,0.20,0.5,0,0.00,0.00,0.09,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,324938,1,RGdy-sl-pp,0,100,2,C,1000,0.5,0.5,silt_loam,250,1.32,0.20,4.3,1.500,4.0,70.8,25.2,10,0.20,0.4,0,1000,1.63,0.18,8.0,0.300,4.0,83.4,12.6,10,0.20,0.5,0,0,0.00,0.09,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,324938,1,RGlen-dy-ar,0,100,2,C,700,0.5,0.5,sandy_loam,250,1.28,0.22,28.6,3.000,9.0,21.4,69.6,10,0.20,0.2,0,700,1.60,0.20,17.4,0.400,2.0,13.3,84.7,12,0.20,0.1,0,0,0.00,0.08,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0.00,0.00,0.0,0.000,0.0,0.0,0.0,0,0.00,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
