datetime,mystery_col,smc_150_mm,smc_300_mm,smc_450_mm,smc_600_mm,smc_750_mm,smc_900_mm,temp_035_mm,temp_100_mm,temp_200_mm,temp_300_mm,temp_400_mm,temp_500_mm,temp_600_mm
6/29/2022 20:02,0,25.1,27.6,30.1,33.9,31.2,37.7,19.5,19.1,17.7,16.3,15.3,14.3,14
6/29/2022 20:32,0,25.1,27.6,30.1,33.9,31.2,37.7,18.8,19,17.7,16.3,15.3,14.3,14
6/29/2022 21:02,0,25,27.7,30.1,33.9,31.2,37.7,18.5,18.8,17.7,16.3,15.3,14.3,14
6/29/2022 21:32,0,25,27.7,30.1,33.9,31.2,37.7,17.8,18.6,17.6,16.3,15.3,14.3,14
6/29/2022 22:02,0,24.9,27.8,30.1,33.9,31.2,37.7,17.2,18.5,17.6,16.5,15.3,14.3,14
6/29/2022 22:32,0,24.8,27.8,30.1,33.9,31.2,37.7,16.5,18.2,17.6,16.5,15.3,14.3,14.1
6/29/2022 23:02,0,24.7,27.8,30.1,33.9,31.2,37.7,16.1,18,17.6,16.5,15.5,14.3,14.1
6/29/2022 23:32,0,24.6,27.8,30.1,33.9,31.2,37.7,15.3,17.7,17.5,16.5,15.5,14.3,14.1
6/30/2022 0:02,0,24.6,27.9,30.1,33.9,31.2,37.7,14.8,17.3,17.3,16.5,15.5,14.3,14.1
6/30/2022 0:32,0,24.4,27.9,30.1,33.9,31.2,37.7,14.3,17.1,17.3,16.5,15.5,14.3,14.1
6/30/2022 1:02,0,24.3,27.9,30.2,33.9,31.2,37.7,13.8,16.8,17.1,16.5,15.5,14.3,14.1
6/30/2022 1:32,0,24.3,27.9,30.2,33.9,31.2,37.7,13.6,16.5,17.1,16.5,15.5,14.5,14.1
6/30/2022 2:02,0,24.2,27.9,30.2,33.9,31.2,37.7,13.2,16.3,17,16.5,15.5,14.5,14.1
6/30/2022 2:32,0,24.1,27.8,30.2,33.9,31.2,37.7,13,16,16.8,16.5,15.5,14.5,14.1
6/30/2022 3:02,0,24.1,27.8,30.2,34,31.2,37.7,12.8,15.8,16.7,16.3,15.5,14.3,14.1
6/30/2022 3:32,0,24,27.8,30.2,34,31.2,37.7,12.5,15.6,16.5,16.3,15.5,14.5,14.1
6/30/2022 4:02,0,23.9,27.8,30.2,34,31.2,37.7,12.5,15.3,16.3,16.3,15.5,14.5,14.1
6/30/2022 4:32,0,23.9,27.8,30.2,34,31.2,37.7,12.2,15.2,16.3,16.2,15.6,14.5,14.1
6/30/2022 5:02,0,23.8,27.8,30.2,34,31.2,37.7,12,15,16.1,16.2,15.5,14.5,14.1
6/30/2022 5:32,0,23.8,27.8,30.2,34,31.2,37.7,12.3,14.7,16,16.1,15.5,14.5,14.1
6/30/2022 6:02,0,23.9,27.8,30.2,34,31.2,37.7,12.7,14.7,15.8,16.1,15.5,14.5,14.1
6/30/2022 6:32,0,23.9,27.8,30.2,34,31.2,37.7,13.5,14.7,15.7,16,15.5,14.5,14.1
6/30/2022 7:02,0,24,27.8,30.2,34,31.2,37.7,14.1,14.7,15.6,16,15.5,14.5,14.1
6/30/2022 7:32,0,24.1,27.7,30.2,34,31.2,37.7,15.1,14.8,15.6,15.8,15.5,14.5,14.1
6/30/2022 8:02,0,24.2,27.7,30.2,34,31.2,37.7,16,15,15.5,15.8,15.5,14.5,14.1
6/30/2022 8:32,0,24.3,27.7,30.2,34,31.2,37.7,16.8,15.1,15.5,15.8,15.5,14.5,14.1
6/30/2022 9:02,0,24.4,27.7,30.2,34,31.2,37.7,17.8,15.3,15.3,15.7,15.5,14.5,14.1
6/30/2022 9:32,0,24.5,27.7,30.2,34,31.2,37.7,18.6,15.7,15.3,15.6,15.5,14.5,14.1
6/30/2022 10:02,0,24.6,27.8,30.2,34,31.2,37.7,19.5,16,15.5,15.6,15.3,14.5,14.1
6/30/2022 10:32,0,24.7,27.8,30.2,34,31.2,37.7,20.5,16.3,15.5,15.6,15.3,14.5,14.1
6/30/2022 11:02,0,24.8,27.8,30.2,34,31.2,37.7,21.6,16.6,15.6,15.6,15.3,14.5,14.1
