date,var,depth,site,value
2021-11-05,smc,450,600409,39
2021-11-05,smc,450,600410,37
2021-11-05,smc,450,600411,45.5
2021-11-05,smc,450,600413,38.7
2021-11-05,smc,600,600409,41
2021-11-05,smc,600,600410,35
2021-11-05,smc,600,600411,47.7
2021-11-05,smc,600,600413,32.2
2021-11-05,smc,750,600409,39.4
2021-11-05,smc,750,600410,33.7
2021-11-05,smc,750,600411,45.5
2021-11-05,smc,750,600413,28.9
2021-11-05,smc,900,600409,39.1
2021-11-05,smc,900,600410,39.7
2021-11-05,smc,900,600411,41.8
2021-11-05,smc,900,600413,34.4
2021-11-05,temp,035,600409,0.5
2021-11-05,temp,035,600410,4.5
2021-11-05,temp,035,600411,4.3
2021-11-05,temp,035,600413,3.5
2021-11-05,temp,100,600409,5.3
2021-11-05,temp,100,600410,5.8
2021-11-05,temp,100,600411,5.4
2021-11-05,temp,100,600413,4.7
2021-11-05,temp,200,600409,7
2021-11-05,temp,200,600410,7
2021-11-05,temp,200,600411,6.4
2021-11-05,temp,200,600413,5.9
2021-11-05,temp,300,600409,7.3
2021-11-05,temp,300,600410,7.3
2021-11-05,temp,300,600411,7
2021-11-05,temp,300,600413,6.9
2021-11-05,temp,400,600409,7.9
2021-11-05,temp,400,600410,7.5
2021-11-05,temp,400,600411,7.6
2021-11-05,temp,400,600413,7.7
2021-11-05,temp,500,600409,7.7
2021-11-05,temp,500,600410,7.9
2021-11-05,temp,500,600411,8.1
2021-11-05,temp,500,600413,7.6
2021-11-05,temp,600,600409,8
2021-11-05,temp,600,600410,8.1
2021-11-05,temp,600,600411,8.4
2021-11-05,temp,600,600413,8.2
2021-11-06,smc,300,600409,40.8
2021-11-06,smc,300,600410,37.7
2021-11-06,smc,300,600411,35.4
2021-11-06,smc,300,600413,37.1
2021-11-06,smc,450,600409,39.2
2021-11-06,smc,450,600410,37
2021-11-06,smc,450,600411,45.4
2021-11-06,smc,450,600413,38.7
2021-11-06,smc,600,600409,41.2
2021-11-06,smc,600,600410,35
2021-11-06,smc,600,600411,47.7
2021-11-06,smc,600,600413,32.2
2021-11-06,smc,750,600409,39.5
2021-11-06,smc,750,600410,33.7
2021-11-06,smc,750,600411,45.5
2021-11-06,smc,750,600413,29.1
2021-11-06,smc,900,600409,39.2
2021-11-06,smc,900,600410,39.9
2021-11-06,smc,900,600411,41.9
2021-11-06,smc,900,600413,34.5
2021-11-06,temp,035,600409,-0.1
2021-11-06,temp,035,600410,3.1
2021-11-06,temp,035,600411,2.6
2021-11-06,temp,035,600413,1.8
2021-11-06,temp,100,600409,4.3
2021-11-06,temp,100,600410,4.2
2021-11-06,temp,100,600411,3.8
2021-11-06,temp,100,600413,2.9
2021-11-06,temp,200,600409,6.2
2021-11-06,temp,200,600410,5.7
